qseqid	sseqid	Gene_catalogue	Enzyme
k117_81137_2	384222183	k117_81137_2_EEMAC-CPL	dut
k117_86301_3	1380390.JIAT01000010_gene4157	k117_86301_3_EEMAC-CPL	purC
k117_86634_2	mll:B1R94_24745	k117_86634_2_EEMAC-CPL	purL
k117_87035_1	1463855.JOHV01000023_gene1926	k117_87035_1_EEMAC-CPL	purN
k117_87035_3	A0A286F9N7	k117_87035_3_EEMAC-CPL	gmk
k117_87984_1	A0A2N5KNZ2	k117_87984_1_EEMAC-CPL	guaA
k117_8991_1	A0A2V5Z1I2	k117_89916_2_EEMAC-CPL	purA
k117_92637_6	67275.JOAP01000014_gene4621	k117_92637_6_EEMAC-CPL	phnE
k117_95204_2	1123321.KB905825_gene21	k117_95204_2_EEMAC-CPL	ppk
k117_9551_2	497964.CfE428DRAFT_0650	k117_9551_2_EEMAC-CPL	nrdD
k117_95574_1	A0A7W1URT3	k117_95574_1_EEMAC-CPL	pstB
k117_97868_1	931627.MycrhDRAFT_0378	k117_97868_1_EEMAC-CPL	pstS
k117_98802_2	9315.ENSMEUP00000002629	k117_98802_2_EEMAC-CPL	purA
k117_103543_1	1380391.JIAS01000011_gene5507	k117_103543_1_EEMAC-N	pstB
k117_10439_1	108805973	k117_10439_1_EEMAC-N	gdh
k117_106118_3	1123355.JHYO01000013_gene1162	k117_106118_3_EEMAC-N	ppk
k117_106190_8	xbc:ELE36_11350	k117_106190_8_EEMAC-N	pyrG
k117_106530_4	A0A2H6B5Y9	k117_106530_4_EEMAC-N	purH
k117_10673_1	A0A6L5FIV2	k117_10673_1_EEMAC-N	pyk
k117_109445_4	A0A537XXQ2	k117_109445_4_EEMAC-N	pyrF
k117_112452_2	108804309	k117_112452_2_EEMAC-N	gmk
k117_112452_3	A0A6G8Q986	k117_112452_3_EEMAC-N	gmk
k117_114086_1	A0A6G1YTX1	k117_114086_1_EEMAC-N	pyrH
k117_114265_2	A0A3N5VQK5	k117_114265_2_EEMAC-N	guaA
k117_114957_1	284042798	k117_114957_1_EEMAC-N	dut
k117_115524_2	1463936.JOJI01000042_gene564	k117_115524_2_EEMAC-N	purQ
k117_117192_4	A0A539E9B3	k117_117192_4_EEMAC-N	dut
k117_120617_1	A0A538HB38	k117_120617_1_EEMAC-N	pyrE
k117_120617_2	A0A535R3A0	k117_120617_2_EEMAC-N	pyrE
k117_121185_3	78245.Xaut_3924	k117_121185_3_EEMAC-N	pyk
k117_121922_1	929712.KI912613_gene1367	k117_121922_1_EEMAC-N	phoB
k117_122234_3	117928938	k117_122234_3_EEMAC-N	phnC
k117_122412_3	103733.JNYO01000014_gene3758	k117_122412_3_EEMAC-N	phnC
k117_12261_12	408403985	k117_12261_12_EEMAC-N	rpiA
k117_124171_8	A0A538ADV6	k117_124171_8_EEMAC-N	tmk
k117_124765_1	470178134	k117_124765_1_EEMAC-N	phoB
k117_125459_1	470177615	k117_125459_1_EEMAC-N	pstB
k117_126177_3	1380390.JIAT01000010_gene4956	k117_126177_3_EEMAC-N	phnC
k117_127000_1	298654.FraEuI1c_0980	k117_127000_1_EEMAC-N	nrdD
k117_128495_3	A0A1M3BKD9	k117_128495_3_EEMAC-N	purD
k117_129109_2	rhz:RHPLAN_07250	k117_129109_2_EEMAC-N	purM
k117_129909_8	1120949.KB903301_gene6435	k117_129909_8_EEMAC-N	phnC
k117_133116_11	16124937	k117_133116_11_EEMAC-N	phnC
k117_133803_1	253839.SSNG_06298	k117_133803_1_EEMAC-N	tmk
k117_133946_3	1968.JOEV01000005_gene6127	k117_133946_3_EEMAC-N	ugpE
k117_134285_3	boo:E2K80_06410	k117_134285_3_EEMAC-N	gdh
k117_134672_3	189753.AXAS01000041_gene2542	k117_134672_3_EEMAC-N	phnN
k117_137519_2	taa:NMY3_02380	k117_137519_2_EEMAC-N	ugpC
k117_139512_2	ops:A8A54_09280	k117_139512_2_EEMAC-N	tmk
k117_139530_2	1120960.ATXG01000011_gene3540	k117_139530_2_EEMAC-N	ppd
k117_140795_4	A0A537U5W3	k117_140795_4_EEMAC-N	phoH
k117_141791_3	715226.ABI_45140	k117_141791_3_EEMAC-N	ppc
k117_14214_1	1502851.FG93_00436	k117_14214_1_EEMAC-N	phnC
k117_14260_1	A0A1Q7BEP5	k117_14260_1_EEMAC-N	rpiA
k117_142874_2	316056.RPC_0198	k117_142874_2_EEMAC-N	ugpC
k117_143108_2	A0A537T7G2	k117_143108_2_EEMAC-N	purF
k117_143919_3	1380390.JIAT01000010_gene4819	k117_143919_3_EEMAC-N	phoB
k117_144249_3	A0A537RLM7	k117_144249_3_EEMAC-N	phnC
k117_145471_2	1123504.JQKD01000002_gene4046	k117_145471_2_EEMAC-N	deoB
k117_145804_14	A0A533WRA7	k117_145804_14_EEMAC-N	guaA
k117_146930_1	114615.BRADO6833	k117_146930_1_EEMAC-N	phoB
k117_147521_1	336116233	k117_147521_1_EEMAC-N	dcd
k117_147618_1	brad:BF49_2816	k117_147618_1_EEMAC-N	phoP
k117_149362_1	670292.JH26_26215	k117_149362_1_EEMAC-N	purN
k117_149933_1	335659.S23_60990	k117_149933_1_EEMAC-N	ugpC
k117_150150_1	A0A533V6V7	k117_150150_1_EEMAC-N	pstC
k117_150150_2	A0A533V683	k117_150150_2_EEMAC-N	pstS
k117_150411_4	114615.BRADO5701	k117_150411_4_EEMAC-N	adk
k117_150800_1	271961733	k117_150800_1_EEMAC-N	phoB
k117_153853_1	1217720.ALOX01000027_gene3712	k117_153853_1_EEMAC-N	pyrE
k117_154232_3	1125973.JNLC01000010_gene1695	k117_154232_3_EEMAC-N	pstB
k117_154232_4	1120792.JAFV01000001_gene1792	k117_154232_4_EEMAC-N	pstB
k117_154492_4	A0A5Q2RJB5	k117_154492_4_EEMAC-N	purH
k117_1611_3	A0A533V919	k117_1611_3_EEMAC-N	tmk
k117_1611_5	A0A533V8A0	k117_1611_5_EEMAC-N	pyrH
k117_161238_1	1137268.AZXF01000022_gene2516	k117_161238_1_EEMAC-N	pyrE
k117_16280_1	1449353.JQMQ01000005_gene599	k117_16280_1_EEMAC-N	gdh
k117_162872_2	298655.KI912266_gene2834	k117_162872_2_EEMAC-N	phnK
k117_163300_1	926564.KI911653_gene1459	k117_163300_1_EEMAC-N	purD
k117_165628_3	1038859.AXAU01000002_gene706	k117_165628_3_EEMAC-N	phnC
k117_169651_1	1157640.AQWO01000002_gene4188	k117_169651_1_EEMAC-N	pstB
k117_171116_1	470179520	k117_171116_1_EEMAC-N	pstB
k117_171750_1	1235797.C816_00676	k117_171750_1_EEMAC-N	pyk
k117_172203_3	408403252	k117_172203_3_EEMAC-N	rpiA
k117_172203_4	408403249	k117_172203_4_EEMAC-N	gnd
k117_172339_1	A0A538AK38	k117_172339_1_EEMAC-N	purA
k117_175227_3	470176470	k117_175227_3_EEMAC-N	phnC
k117_177416_1	158317025	k117_177416_1_EEMAC-N	ppx
k117_177876_4	42256.RradSPS_1538	k117_177876_4_EEMAC-N	ppx
k117_179034_1	brs:S23_00940	k117_179034_1_EEMAC-N	cmk
k117_179097_2	1432050.IE4771_CH04296	k117_179097_2_EEMAC-N	tmk
k117_18122_1	A0A3N5V9C8	k117_18122_1_EEMAC-N	purF
k117_181363_3	58123.JOFJ01000003_gene1954	k117_181363_3_EEMAC-N	ugpC
k117_181459_3	A0A640YD07	k117_181459_3_EEMAC-N	adk
k117_183255_1	A0A1Q7B8R3	k117_183255_1_EEMAC-N	thyA
k117_183657_2	284041764	k117_183657_2_EEMAC-N	phoP
k117_187833_2	A0A537TN71	k117_187833_2_EEMAC-N	pstS
k117_188807_8	1298863.AUEP01000018_gene3913	k117_188807_8_EEMAC-N	pstA
k117_189179_1	108804850	k117_189179_1_EEMAC-N	pstB
k117_189262_2	A0A538I230	k117_189262_2_EEMAC-N	purL
k117_189755_1	1429916.X566_11550	k117_189755_1_EEMAC-N	pckA
k117_190596_3	269956951	k117_190596_3_EEMAC-N	ppk
k117_190596_4	jli:EXU32_03925	k117_190596_4_EEMAC-N	ppk
k117_193750_10	A0A537ZWE9	k117_193750_10_EEMAC-N	purC
k117_194962_1	A0A2V6AQ97	k117_194962_1_EEMAC-N	guaA
k117_195310_2	A0A7W1HLZ0	k117_195310_2_EEMAC-N	pstB
k117_196779_3	146922.JOFU01000007_gene6082	k117_196779_3_EEMAC-N	ppk
k117_197524_1	556570782	k117_197524_1_EEMAC-N	deoB
k117_199360_4	2074.JNYD01000006_gene1781	k117_199360_4_EEMAC-N	gdh
k117_20076_3	108805005	k117_20076_3_EEMAC-N	adk
k117_201444_4	A0A538B3G8	k117_201444_4_EEMAC-N	gmk
k117_201812_5	rhz:RHPLAN_70410	k117_201812_5_EEMAC-N	pstB
k117_202771_3	A0A538M2M2	k117_202771_3_EEMAC-N	dut
k117_203797_1	rhz:RHPLAN_45810	k117_203797_1_EEMAC-N	ugpC
k117_204794_1	313589.JNB_12598	k117_204794_1_EEMAC-N	gdh
k117_205276_1	1380393.JHVP01000003_gene932	k117_205276_1_EEMAC-N	ugpC
k117_206541_1	A0A6N2DKH6	k117_206541_1_EEMAC-N	purQ
k117_206541_2	A0A3C2BAH4	k117_206541_2_EEMAC-N	purC
k117_20766_1	1079986.JH164861_gene7284	k117_20766_1_EEMAC-N	phnC
k117_208455_2	1380390.JIAT01000009_gene718	k117_208455_2_EEMAC-N	purL
k117_209811_3	33898.JRHJ01000058_gene5363	k117_209811_3_EEMAC-N	phnC
k117_210413_3	1280954.HPO_02582	k117_210413_3_EEMAC-N	glpT
k117_211806_3	A0A538DMI5	k117_211806_3_EEMAC-N	gnd
k117_213989_2	709797.CSIRO_1766	k117_213989_2_EEMAC-N	ppk
k117_215405_2	882083.SacmaDRAFT_2713	k117_215405_2_EEMAC-N	pstB
k117_216151_2	A0A537XTN5	k117_216151_2_EEMAC-N	pyrG
k117_216981_4	1038858.AXBA01000003_gene4291	k117_216981_4_EEMAC-N	pyrE
k117_218128_2	A0A538I2C3	k117_218128_2_EEMAC-N	ugpC
k117_219417_1	1283299.AUKG01000001_gene1808	k117_219417_1_EEMAC-N	phoB
k117_220193_1	mmic:RN08_0728	k117_220193_1_EEMAC-N	ppdK
k117_222797_1	68170.KL590469_gene1878	k117_222797_1_EEMAC-N	purA
k117_223051_2	A0A538JJU3	k117_223051_2_EEMAC-N	purQ
k117_223079_1	A0A6J4QN96	k117_223079_1_EEMAC-N	guaA
k117_223356_1	1303692.SFUL_5456	k117_223356_1_EEMAC-N	adk
k117_223998_3	1123320.KB889585_gene1871	k117_223998_3_EEMAC-N	gdh
k117_225290_1	1120934.KB894418_gene1947	k117_225290_1_EEMAC-N	adk
k117_226016_1	1380393.JHVP01000002_gene1529	k117_226016_1_EEMAC-N	phnK
k117_22606_2	666684.AfiDRAFT_1135	k117_22606_2_EEMAC-N	adk
k117_226296_1	257070068	k117_226296_1_EEMAC-N	ugpA
k117_228543_1	1380390.JIAT01000009_gene734	k117_228543_1_EEMAC-N	prsA
k117_228800_1	631454.N177_2490	k117_228800_1_EEMAC-N	gdh
k117_229670_1	269125288	k117_229670_1_EEMAC-N	ugpC
k117_22974_1	459290889	k117_22974_1_EEMAC-N	phnL
k117_229867_2	284045942	k117_229867_2_EEMAC-N	pstA
k117_230453_4	A0A7J9YYU5	k117_230453_4_EEMAC-N	purM
k117_231458_1	A0A1H1YJ18	k117_231458_1_EEMAC-N	purK
k117_232016_1	408406020	k117_232016_1_EEMAC-N	purA
k117_234063_7	1236541.BALL01000011_gene1751	k117_234063_7_EEMAC-N	pyk
k117_23462_2	alo:CRK60949	k117_23462_2_EEMAC-N	phnC
k117_23462_3	alo:CRK60949	k117_23462_3_EEMAC-N	phnC
k117_235703_2	jli:EXU32_11545	k117_235703_2_EEMAC-N	pyrE
k117_235703_3	336119969	k117_235703_3_EEMAC-N	pyrE
k117_238741_2	1157637.KB892090_gene6224	k117_238741_2_EEMAC-N	ppk
k117_238745_1	65497.JODV01000005_gene1196	k117_238745_1_EEMAC-N	nrdD
k117_240975_1	1121928.AUHE01000001_gene2001	k117_240975_1_EEMAC-N	gdh
k117_241346_11	408404330	k117_241346_10_EEMAC-N	purC
k117_241390_2	A0A537SND9	k117_241390_2_EEMAC-N	phnC
k117_241470_3	1459636.NTE_02374	k117_241470_3_EEMAC-N	pstB
k117_244492_1	A0A538AKC2	k117_244492_1_EEMAC-N	purF
k117_244532_3	1206730.BAGA01000006_gene5271	k117_244532_3_EEMAC-N	nrdD
k117_249108_1	1123320.KB889563_gene6357	k117_249108_1_EEMAC-N	phoB
k117_249463_2	psin:CAK95_11395	k117_249463_2_EEMAC-N	pstB
k117_25022_2	amih:CO731_00878	k117_25022_2_EEMAC-N	adk
k117_251331_1	1168059.KB899087_gene1155	k117_251331_1_EEMAC-N	purM
k117_251771_4	710421.Mycch_2054	k117_251771_4_EEMAC-N	phnN
k117_259658_1	A0A1Q7UEP9	k117_259658_1_EEMAC-N	pyrF
k117_259927_1	224911.27353376	k117_259927_1_EEMAC-N	tmk
k117_260855_5	408402898	k117_260855_5_EEMAC-N	purP
k117_260905_2	284043884	k117_260905_2_EEMAC-N	ugpC
k117_26142_1	cart:PA27867_0673	k117_26142_1_EEMAC-N	RegX3
k117_262149_2	470180043	k117_262149_2_EEMAC-N	phoB
k117_263054_3	lyt:DWG18_11745	k117_263054_3_EEMAC-N	purA
k117_263140_1	A0A537YR32	k117_263140_1_EEMAC-N	purQ
k117_263140_3	A0A537ZWE9	k117_263140_3_EEMAC-N	purC
k117_26366_1	rhz:RHPLAN_16600	k117_26366_1_EEMAC-N	phnC
k117_265898_19	A0A1Q7VHA7	k117_265898_19_EEMAC-N	purF
k117_26598_1	1380394.JADL01000005_gene5702	k117_26598_1_EEMAC-N	phnT
k117_2663_3	159450.NH14_16220	k117_2663_3_EEMAC-N	phnK
k117_266577_3	A0A2H5WD07	k117_266577_3_EEMAC-N	purB
k117_267781_1	A0A3M2G9W3	k117_267781_1_EEMAC-N	pyrG
k117_270273_1	108803717	k117_270273_1_EEMAC-N	phnK
k117_270419_18	A0A538ACB4	k117_270419_18_EEMAC-N	pyrF
k117_270435_2	103733.JNYO01000004_gene7976	k117_270435_2_EEMAC-N	adk
k117_270978_1	470178483	k117_270978_1_EEMAC-N	ppdK
k117_274076_1	A0A537UEM0	k117_274076_1_EEMAC-N	dut
k117_275240_2	1405.DJ92_2244	k117_275240_2_EEMAC-N	pyrE
k117_275598_4	404589.Anae109_4052	k117_275598_4_EEMAC-N	guaA
k117_27579_2	1463917.JODC01000008_gene3293	k117_27579_2_EEMAC-N	gdh
k117_275820_1	930171.Asphe3_08430	k117_275820_1_EEMAC-N	phnC
k117_278959_1	1380390.JIAT01000010_gene4819	k117_278959_1_EEMAC-N	phoB
k117_280833_1	A0A538ADW8	k117_280833_1_EEMAC-N	ugpC
k117_282552_8	1429916.X566_12435	k117_282552_8_EEMAC-N	phnC
k117_283401_1	A0A090MNG2	k117_283401_1_EEMAC-N	ppdK
k117_283845_1	pleo:OHA_1_01067	k117_283845_1_EEMAC-N	ugpC
k117_284514_2	A0A521VY38	k117_284514_2_EEMAC-N	purA
k117_284864_7	A0A3N5V6X7	k117_284864_7_EEMAC-N	ppa
k117_285110_2	A0A537SU26	k117_285110_1_EEMAC-N	pstS
k117_2851_2	A0A537SNK8	k117_285110_2_EEMAC-N	ugpC
k117_287652_2	1283299.AUKG01000005_gene36	k117_287652_2_EEMAC-N	phnK
k117_287801_1	A0A538MPX1	k117_287801_1_EEMAC-N	purH
k117_287801_3	A0A1F2XT32	k117_287801_3_EEMAC-N	purM
k117_290026_1	A0A538BCL7	k117_290026_1_EEMAC-N	pyrF
k117_290177_1	A0A2S5J0H3	k117_290177_1_EEMAC-N	dut
k117_290342_3	1120999.JONM01000001_gene1458	k117_290342_3_EEMAC-N	guaA
k117_291456_4	626369.HMPREF0446_00795	k117_291456_4_EEMAC-N	phoA
k117_291707_1	336118872	k117_291707_1_EEMAC-N	phnPP
k117_291955_9	A0A1H6FM24	k117_29195_2_EEMAC-N	adk
k117_293209_1	488600575	k117_293209_1_EEMAC-N	pstB
k117_294173_10	A0A538ADW8	k117_294173_10_EEMAC-N	ugpC
k117_294728_1	1380390.JIAT01000014_gene6093	k117_294728_1_EEMAC-N	guaA
k117_295544_1	284046866	k117_295544_1_EEMAC-N	nrdJ
k117_297963_1	408403050	k117_297963_1_EEMAC-N	ppdK
k117_298791_1	336118180	k117_298791_1_EEMAC-N	guaB
k117_300427_3	113395.AXAI01000007_gene1393	k117_300427_3_EEMAC-N	deoB
k117_300952_4	1906.SFRA_16855	k117_300952_4_EEMAC-N	pstC
k117_301860_2	A0A537R740	k117_301860_2_EEMAC-N	gnd
k117_302052_5	A0A538MW55	k117_302052_5_EEMAC-N	adk
k117_30782_3	935840.JAEQ01000008_gene721	k117_30782_3_EEMAC-N	phnT
k117_308317_3	A0A533U8A6	k117_308317_3_EEMAC-N	pyrE
k117_310742_3	A0A2V6L4C1	k117_310742_3_EEMAC-N	ppk
k117_316511_85	taa:NMY3_02380	k117_316511_85_EEMAC-N	ugpC
k117_318253_1	psul:AU252_20030	k117_318253_1_EEMAC-N	ppc
k117_32130_3	331694656	k117_32130_3_EEMAC-N	phoP
k117_322990_1	1185876.BN8_01887	k117_322990_1_EEMAC-N	phnC
k117_324785_3	336120402	k117_324785_3_EEMAC-N	ppk
k117_32969_2	bfz:BAU07_08645	k117_32969_2_EEMAC-N	pstB
k117_3301_2	880073.Calab_1772	k117_3301_2_EEMAC-N	phnC
k117_33375_5	1211115.ALIQ01000095_gene269	k117_33375_5_EEMAC-N	purB
k117_334084_1	1079986.JH164837_gene5770	k117_334084_1_EEMAC-N	phnC
k117_339269_1	A0A538H4D2	k117_339269_1_EEMAC-N	ugpC
k117_340189_2	gbc:GbCGDNIH3_0365	k117_340189_2_EEMAC-N	purL
k117_340528_3	A0A2V6AV67	k117_340528_3_EEMAC-N	purQ
k117_340724_1	1283299.AUKG01000002_gene5232	k117_340724_1_EEMAC-N	spoT
k117_340920_2	395019.Bmul_4007	k117_340920_2_EEMAC-N	purD
k117_342698_1	278957.ABEA03000126_gene3673	k117_342698_1_EEMAC-N	phnC
k117_343302_3	1223523.H340_28355	k117_343302_3_EEMAC-N	ppc
k117_343420_1	336119517	k117_343420_1_EEMAC-N	tmk
k117_345661_3	rhz:RHPLAN_11290	k117_345661_3_EEMAC-N	ugpC
k117_346412_1	vit:ADP71_12190	k117_346412_1_EEMAC-N	purS
k117_346988_4	A0A2H6B5N4	k117_346988_4_EEMAC-N	nrdJ
k117_350651_2	67315.JOBD01000014_gene6755	k117_350651_2_EEMAC-N	purD
k117_353358_1	108805837	k117_353358_1_EEMAC-N	purE
k117_355767_2	392413494	k117_355767_2_EEMAC-N	dut
k117_35660_1	1432050.IE4771_CH04296	k117_35660_1_EEMAC-N	tmk
k117_35699_1	497964.CfE428DRAFT_3499	k117_35699_1_EEMAC-N	phnC
k117_357219_1	1137269.AZWL01000003_gene1635	k117_357219_1_EEMAC-N	purB
k117_357846_1	404589.Anae109_4052	k117_357846_1_EEMAC-N	guaA
k117_357854_2	1336243.JAEA01000010_gene3385	k117_357854_2_EEMAC-N	gdh
k117_358616_1	209883612	k117_358616_1_EEMAC-N	pstB
k117_361924_8	A0A177R9X5	k117_361924_8_EEMAC-N	ppk
k117_362244_3	A0A537S2K7	k117_362244_3_EEMAC-N	pyrH
k117_365053_1	42256.RradSPS_2983	k117_365053_1_EEMAC-N	ppdK
k117_366307_4	dez:DKM44_00015	k117_366307_4_EEMAC-N	purL
k117_366446_1	1137268.AZXF01000017_gene2904	k117_366446_1_EEMAC-N	dcd
k117_366706_1	A0A2E8BDN6	k117_366706_1_EEMAC-N	purE
k117_367354_4	A0A1Q4D8Z3	k117_367354_4_EEMAC-N	purE
k117_369619_1	470177112	k117_369619_1_EEMAC-N	ppx
k117_371689_3	A0A538FCS5	k117_371689_3_EEMAC-N	purH
k117_372059_1	336119904	k117_372059_1_EEMAC-N	pps
k117_372125_1	257057639	k117_372125_1_EEMAC-N	phnC
k117_373099_13	1038858.AXBA01000013_gene2422	k117_373099_13_EEMAC-N	tmk
k117_374656_2	A0A538GIN1	k117_374656_2_EEMAC-N	pyrG
k117_375329_2	68170.KL590482_gene426	k117_375329_2_EEMAC-N	ugpC
k117_375347_1	alo:CRK57551	k117_375347_1_EEMAC-N	phoX
k117_37871_1	1304877.KI519400_gene1126	k117_37871_1_EEMAC-N	guaA
k117_37973_4	1303692.SFUL_5456	k117_37973_4_EEMAC-N	adk
k117_382034_2	408403059	k117_382034_2_EEMAC-N	purN
k117_382282_2	1033736.CAHK01000055_gene2922	k117_382282_2_EEMAC-N	rpiA
k117_382680_1	1394178.AWOO02000107_gene5811	k117_382680_1_EEMAC-N	phoB
k117_385028_5	867903.ThesuDRAFT_00566	k117_385028_5_EEMAC-N	purF
k117_388773_6	A0A7J9YTJ9	k117_388773_6_EEMAC-N	purD
k117_389147_2	A0A538JJY3	k117_389147_2_EEMAC-N	purA
k117_390204_1	A0A7W1URT3	k117_390204_1_EEMAC-N	pstB
k117_391426_4	1283287.KB822583_gene2791	k117_391426_4_EEMAC-N	adk
k117_394609_1	1122611.KB903944_gene1202	k117_394609_1_EEMAC-N	phoB
k117_401328_1	1120959.ATXF01000008_gene589	k117_401328_1_EEMAC-N	pstA
k117_402533_2	meso:BSQ44_07735	k117_402533_2_EEMAC-N	phnT
k117_402711_1	1469607.KK073768_gene1876	k117_402711_1_EEMAC-N	phny
k117_40637_1	A0A533USS2	k117_40637_1_EEMAC-N	purQ
k117_406992_1	A0A533V289	k117_406992_1_EEMAC-N	pstB
k117_407430_4	103733.JNYO01000004_gene7976	k117_407430_4_EEMAC-N	adk
k117_407553_1	A0A538GFZ0	k117_407553_1_EEMAC-N	ugpC
k117_409456_1	408403265	k117_409456_1_EEMAC-N	pyk
k117_411006_1	349741.Amuc_1304	k117_411006_1_EEMAC-N	pstA
k117_411006_2	A0A8I1SSI4	k117_411006_2_EEMAC-N	pstB
k117_412508_4	882083.SacmaDRAFT_2713	k117_412508_4_EEMAC-N	pstB
k117_413359_2	coq:D9V35_06770	k117_413359_2_EEMAC-N	guaA
k117_415121_1	1380354.JIAN01000009_gene3702	k117_415121_1_EEMAC-N	phoB
k117_416865_1	936455.KI421499_gene5608	k117_416865_1_EEMAC-N	phnC
k117_417058_1	1380390.JIAT01000010_gene4956	k117_417058_1_EEMAC-N	phnC
k117_419588_1	A0A538H0L9	k117_419588_1_EEMAC-N	guaB
k117_420078_2	A0A538BVS1	k117_420078_2_EEMAC-N	purQ
k117_420459_2	A0A533VA88	k117_420459_2_EEMAC-N	guaB
k117_420601_3	470180100	k117_420601_3_EEMAC-N	purB
k117_420601_4	A0A2E0RXN4	k117_420601_4_EEMAC-N	purA
k117_420617_2	1380390.JIAT01000010_gene4004	k117_420617_2_EEMAC-N	RegX3
k117_424593_3	A0A2H5ZV01	k117_424593_3_EEMAC-N	ppdK
k117_427558_1	1526927.Plano_1825	k117_427558_1_EEMAC-N	deoB
k117_429988_2	1297863.APJF01000028_gene1373	k117_429988_2_EEMAC-N	pyrF
k117_431858_1	A0A538DD68	k117_431858_1_EEMAC-N	deoB
k117_434061_1	1122609.AUGT01000002_gene3998	k117_434061_1_EEMAC-N	pstB
k117_435507_1	A0A2H5WC33	k117_435507_1_EEMAC-N	nrdJ
k117_435893_6	A0A2H6B5A1	k117_435893_6_EEMAC-N	adk
k117_435951_12	1206730.BAGA01000006_gene5271	k117_435951_12_EEMAC-N	nrdD
k117_436273_1	A0A537R2C9	k117_436273_1_EEMAC-N	ugpB
k117_436385_5	A0A7J9YNM5	k117_436385_5_EEMAC-N	pyrF
k117_436676_2	hdi:HDIA_3370	k117_436676_2_EEMAC-N	pstB
k117_436932_18	A0A538J632	k117_436932_18_EEMAC-N	ugpC
k117_437316_2	1230476.C207_05951	k117_437316_2_EEMAC-N	ugpC
k117_438206_1	312115626	k117_438206_1_EEMAC-N	phoB
k117_444543_1	strd:NI25_15620	k117_444543_1_EEMAC-N	phnC
k117_444859_3	1169161.KB897714_gene6301	k117_444859_3_EEMAC-N	pstB
k117_445007_2	1380355.JNIJ01000009_gene1682	k117_445007_2_EEMAC-N	phnM
k117_448939_3	A0A6N8E8U5	k117_448939_3_EEMAC-N	phnE
k117_448939_6	A0A7Z2PV41	k117_448939_6_EEMAC-N	phnC
k117_449188_5	1095767.CAHD01000171_gene2544	k117_449188_5_EEMAC-N	pyk
k117_449603_1	A0A6N8E8U5	k117_449603_1_EEMAC-N	phnE
k117_449894_1	1120950.KB892781_gene424	k117_449894_1_EEMAC-N	phnC
k117_450691_1	470177181	k117_450691_1_EEMAC-N	dcd
k117_452729_15	1123507.ATVQ01000001_gene1141	k117_452729_15_EEMAC-N	purL
k117_453535_1	abai:IMCC26256_111477	k117_453535_1_EEMAC-N	phoH
k117_453807_2	1380393.JHVP01000003_gene932	k117_453807_2_EEMAC-N	ugpC
k117_456702_1	A0A520XSJ8	k117_456702_1_EEMAC-N	pyrH
k117_456734_1	333920678	k117_456734_1_EEMAC-N	phnC
k117_458830_1	A0A538HA49	k117_458830_1_EEMAC-N	guaA
k117_45979_9	408402995	k117_45979_9_EEMAC-N	purM
k117_460382_3	1961.JOAK01000026_gene2408	k117_460382_3_EEMAC-N	phnC
k117_46203_2	1038859.AXAU01000026_gene2318	k117_46203_2_EEMAC-N	purD
k117_463852_1	A0A3A0E9F1	k117_463852_1_EEMAC-N	purH
k117_466057_5	256824687	k117_466057_5_EEMAC-N	pstB
k117_466389_2	taa:NMY3_01333	k117_466389_2_EEMAC-N	tmk
k117_468466_14	408404197	k117_468466_14_EEMAC-N	purF
k117_468466_15	408404196	k117_468466_15_EEMAC-N	purL
k117_468819_5	408405228	k117_468819_5_EEMAC-N	pyrH
k117_470929_3	A0A538KV45	k117_470929_3_EEMAC-N	purS
k117_471924_2	485913.Krac_6443	k117_471924_2_EEMAC-N	phoB
k117_473459_1	1380390.JIAT01000009_gene2017	k117_473459_1_EEMAC-N	dcd
k117_475029_2	nvn:NVIE_020810	k117_475029_2_EEMAC-N	tmk
k117_475029_3	1459636.NTE_00051	k117_475029_3_EEMAC-N	tmk
k117_475051_1	497964.CfE428DRAFT_3933	k117_475051_1_EEMAC-N	phoP
k117_476434_2	ros:CTJ15_00600	k117_476434_2_EEMAC-N	pstB
k117_478837_1	332668877	k117_478837_1_EEMAC-N	purF
k117_479715_3	A0A533VH13	k117_479715_3_EEMAC-N	purA
k117_479788_1	A0A6G1YTL9	k117_479788_1_EEMAC-N	pstC
k117_480147_1	A0A7W0K0T4	k117_480147_1_EEMAC-N	pstB
k117_483504_2	1115803.HMPREF1129_0252	k117_483504_2_EEMAC-N	purH
k117_483940_1	1121106.JQKB01000015_gene5834	k117_483940_1_EEMAC-N	phoB
k117_485472_3	1283287.KB822585_gene2640	k117_485472_3_EEMAC-N	deoB
k117_48723_1	284044558	k117_48723_1_EEMAC-N	ppdK
k117_489031_1	105425.BBPL01000032_gene4681	k117_489031_1_EEMAC-N	phnC
k117_490438_1	1168059.KB899087_gene2917	k117_490438_1_EEMAC-N	ugpE
k117_492688_8	330470494	k117_492688_8_EEMAC-N	ugpC
k117_494997_1	A0A6J4I0A7	k117_494997_1_EEMAC-N	purS
k117_494997_3	A0A355QF77	k117_494997_3_EEMAC-N	purC
k117_495321_1	A0A538SK43	k117_495321_1_EEMAC-N	purL
k117_496629_1	1108045.GORHZ_111_00050	k117_496629_1_EEMAC-N	pps
k117_49663_3	883126.HMPREF9710_04947	k117_49663_3_EEMAC-N	gmk
k117_497705_1	470178602	k117_497705_1_EEMAC-N	phoH
k117_498204_2	1120956.JHZK01000027_gene1172	k117_498204_2_EEMAC-N	pstB
